TransactionId,Date,Product,Category,Region,Quantity,UnitPrice,Revenue
1,2026-01-01,Tablet,Electronics,KwaZulu-Natal,5,4990,24950
2,2026-01-01,Keyboard,Accessories,Eastern Cape,2,730,1460
3,2026-01-01,Office Chair,Furniture,Free State,6,2860,17160
4,2026-01-02,Monitor,Electronics,KwaZulu-Natal,1,2780,2780
5,2026-01-03,Smartphone,Electronics,KwaZulu-Natal,1,13750,13750
6,2026-01-07,Mouse,Accessories,KwaZulu-Natal,3,180,540
7,2026-01-07,Shredder,Office Equipment,KwaZulu-Natal,6,660,3960
8,2026-01-08,Smartphone,Electronics,KwaZulu-Natal,2,10160,20320
9,2026-01-09,Shredder,Office Equipment,Gauteng,4,1110,4440
10,2026-01-10,Headphones,Accessories,Gauteng,6,1550,9300
11,2026-01-10,Bookshelf,Furniture,Gauteng,1,2010,2010
12,2026-01-11,Desk,Furniture,Free State,2,3570,7140
13,2026-01-12,Mouse,Accessories,Gauteng,2,350,700
14,2026-01-13,Laptop,Electronics,Eastern Cape,3,12660,37980
15,2026-01-14,Bookshelf,Furniture,Eastern Cape,2,1480,2960
16,2026-01-15,Scanner,Office Equipment,Gauteng,5,1710,8550
17,2026-01-18,Smartphone,Electronics,Gauteng,5,8360,41800
18,2026-01-19,Desk,Furniture,KwaZulu-Natal,4,2780,11120
19,2026-01-20,Monitor,Electronics,KwaZulu-Natal,4,4090,16360
20,2026-01-21,Printer,Office Equipment,Free State,1,3260,3260
21,2026-01-21,Keyboard,Accessories,Free State,6,660,3960
22,2026-01-21,Headphones,Accessories,Free State,4,740,2960
23,2026-01-22,Smartphone,Electronics,Western Cape,6,14030,84180
24,2026-01-24,Bookshelf,Furniture,Gauteng,3,1220,3660
25,2026-01-25,Bookshelf,Furniture,KwaZulu-Natal,1,1200,1200
26,2026-01-25,Bookshelf,Furniture,Free State,3,1900,5700
27,2026-01-26,Smartphone,Electronics,Western Cape,6,9800,58800
28,2026-01-28,Headphones,Accessories,Gauteng,3,1530,4590
29,2026-02-01,Desk,Furniture,KwaZulu-Natal,1,4310,4310
30,2026-02-01,Tablet,Electronics,Gauteng,5,6770,33850
31,2026-02-02,Tablet,Electronics,Gauteng,3,4350,13050
